id,last_fcd_time,depart,time_in_network
motorcycle_387,3598.0,278.64,3319.36
car_383,3598.0,275.76,3322.24
car_381,3598.0,274.32,3323.68
car_378,3598.0,272.16,3325.84
car_375_dup,3598.0,270.36,3327.64
car_375,3598.0,270.0,3328.0
car_355_dup,3598.0,255.96,3342.04
car_355,3598.0,255.6,3342.4
motorcycle_353,3598.0,254.16,3343.84
car_331,3598.0,238.32,3359.68
bus_313,3598.0,225.36,3372.64
car_311,3598.0,223.92,3374.08
car_309,3598.0,222.48,3375.52
motorcycle_308,3598.0,221.76,3376.24
bus_306,3598.0,220.32,3377.68
bus_305_dup,3598.0,219.96,3378.04
bus_305,3598.0,219.6,3378.4
car_302_dup,3598.0,217.8,3380.2
car_302,3598.0,217.44,3380.56
motorcycle_299,3598.0,215.28,3382.72
car_298,3598.0,214.56,3383.44
bus_296,3598.0,213.12,3384.88
bus_295_dup,3598.0,212.76,3385.24
bus_295,3598.0,212.4,3385.6
bus_294,3598.0,211.68,3386.32
car_293,3598.0,210.96,3387.04
motorcycle_285_dup,3598.0,205.56,3392.44
motorcycle_285,3598.0,205.2,3392.8
motorcycle_284,3598.0,204.48,3393.52
motorcycle_281,3598.0,202.32,3395.68
car_279,3598.0,200.88,3397.12
car_278,3598.0,200.16,3397.84
motorcycle_277_dup,3598.0,199.8,3398.2
motorcycle_277,3598.0,199.44,3398.56
motorcycle_271,3598.0,195.12,3402.88
bus_266,3598.0,191.52,3406.48
truck_261,3598.0,187.92,3410.08
car_260_dup,3598.0,187.56,3410.44
car_260,3598.0,187.2,3410.8
motorcycle_256,3598.0,184.32,3413.68
car_253,3598.0,182.16,3415.84
motorcycle_250_dup,3598.0,180.36,3417.64
motorcycle_250,3598.0,180.0,3418.0
bus_246,3598.0,177.12,3420.88
bus_202,3598.0,145.44,3452.56
bus_198,3598.0,142.56,3455.44
car_197_dup,3598.0,142.2,3455.8
car_197,3598.0,141.84,3456.16
motorcycle_188,3598.0,135.36,3462.64
bus_180_dup,3598.0,129.96,3468.04
bus_180,3598.0,129.6,3468.4
bus_179,3598.0,128.88,3469.12
bus_158,3598.0,113.76,3484.24
