id,last_fcd_time,depart,time_in_network
car_3341,3598.0,2405.52,1192.48
motorcycle_3340,3598.0,2404.8,1193.1999999999998
bus_3338,3598.0,2403.36,1194.6399999999999
bus_3324,3598.0,2393.28,1204.7199999999998
truck_3318,3598.0,2388.96,1209.04
bus_3312,3598.0,2384.64,1213.3600000000001
bus_3310,3598.0,2383.2,1214.8000000000002
car_3247,3598.0,2337.84,1260.1599999999999
truck_3223,3598.0,2320.56,1277.44
car_3198,3598.0,2302.56,1295.44
car_3195,3598.0,2300.4,1297.6
motorcycle_3153,3598.0,2270.16,1327.8400000000001
car_3152,3598.0,2269.44,1328.56
car_3081,3598.0,2218.32,1379.6799999999998
car_3064,3598.0,2206.08,1391.92
bus_3058,3598.0,2201.76,1396.2399999999998
motorcycle_2453,3598.0,1766.16,1831.84
car_2450,3598.0,1764.0,1834.0
motorcycle_2449,3598.0,1763.28,1834.72
car_2447,3598.0,1761.84,1836.16
car_2429,3598.0,1748.88,1849.12
motorcycle_2412,3598.0,1736.64,1861.36
motorcycle_2409,3598.0,1734.48,1863.52
car_2407,3598.0,1733.04,1864.96
bus_2404,3598.0,1730.88,1867.12
motorcycle_2398,3598.0,1726.56,1871.44
car_2396,3598.0,1725.12,1872.88
car_2381,3598.0,1714.32,1883.68
bus_1378,3598.0,992.16,2605.84
car_1375,3598.0,990.0,2608.0
car_1366,3598.0,983.52,2614.48
truck_1360,3598.0,979.2,2618.8
truck_1358,3598.0,977.76,2620.24
motorcycle_1347,3598.0,969.84,2628.16
car_1343,3598.0,966.96,2631.04
motorcycle_1338,3598.0,963.36,2634.64
car_1336,3598.0,961.92,2636.08
car_1335,3598.0,961.2,2636.8
truck_1330,3598.0,957.6,2640.4
motorcycle_1304,3598.0,938.88,2659.12
motorcycle_1298,3598.0,934.56,2663.44
car_1278,3598.0,920.16,2677.84
car_1261,3598.0,907.92,2690.08
bus_1258,3598.0,905.76,2692.24
