id,last_fcd_time,depart,time_in_network
bus_275,3598.0,198.0,3400.0
bus_272_dup,3598.0,196.2,3401.8
bus_272,3598.0,195.84,3402.16
motorcycle_267_dup,3598.0,192.6,3405.4
motorcycle_267,3598.0,192.24,3405.76
truck_261,3598.0,187.92,3410.08
truck_252_dup,3598.0,181.8,3416.2
truck_252,3598.0,181.44,3416.56
truck_208,3598.0,149.76,3448.24
car_156,3598.0,112.32,3485.68
motorcycle_151,3598.0,108.72,3489.28
bus_143,3598.0,102.96,3495.04
car_141,3598.0,101.52,3496.48
bus_140_dup,3598.0,101.16,3496.84
bus_140,3598.0,100.8,3497.2
car_138,3598.0,99.36,3498.64
motorcycle_137_dup,3598.0,99.0,3499.0
motorcycle_137,3598.0,98.64,3499.36
truck_135_dup,3598.0,97.56,3500.44
truck_135,3598.0,97.2,3500.8
bus_134,3598.0,96.48,3501.52
motorcycle_132_dup,3598.0,95.4,3502.6
motorcycle_132,3598.0,95.04,3502.96
car_131,3598.0,94.32,3503.68
car_125_dup,3598.0,90.36,3507.64
car_125,3598.0,90.0,3508.0
motorcycle_124,3598.0,89.28,3508.72
car_123,3598.0,88.56,3509.44
bus_120_dup,3598.0,86.76,3511.24
bus_120,3598.0,86.4,3511.6
bus_119,3598.0,85.68,3512.32
motorcycle_118,3598.0,84.96,3513.04
car_113,3598.0,81.36,3516.64
motorcycle_111,3598.0,79.92,3518.08
bus_107_dup,3598.0,77.4,3520.6
bus_107,3598.0,77.04,3520.96
