id,last_fcd_time,depart,time_in_network
car_1205,3598.0,1249.55,2348.45
bus_1203,3598.0,1248.51,2349.49
truck_1199,3598.0,1246.43,2351.5699999999997
car_1196,3598.0,1244.87,2353.13
car_1192,3598.0,1242.79,2355.21
car_1175,3598.0,1233.89,2364.1099999999997
motorcycle_1171,3598.0,1231.79,2366.21
motorcycle_1168,3598.0,1230.21,2367.79
car_1153,3598.0,1222.29,2375.71
motorcycle_1116,3598.0,1202.52,2395.48
car_1106,3598.0,1197.12,2400.88
car_1078,3598.0,1181.87,2416.13
motorcycle_1076,3598.0,1180.77,2417.23
motorcycle_1071,3598.0,1178.02,2419.98
motorcycle_1059,3598.0,1171.4,2426.6
car_1050,3598.0,1166.42,2431.58
bus_1047,3598.0,1164.75,2433.25
truck_1037,3598.0,1159.17,2438.83
car_1030,3598.0,1155.25,2442.75
car_1027,3598.0,1153.57,2444.4300000000003
truck_1009,3598.0,1143.42,2454.58
car_1005,3598.0,1141.15,2456.85
bus_806,3598.0,1021.94,2576.06
truck_805,3598.0,1021.31,2576.69
car_803,3598.0,1020.04,2577.96
motorcycle_802,3598.0,1019.4,2578.6
motorcycle_800,3598.0,1018.13,2579.87
car_795,3598.0,1014.95,2583.05
bus_785,3598.0,1008.54,2589.46
car_777,3598.0,1003.39,2594.61
truck_774,3598.0,1001.45,2596.55
bus_766,3598.0,996.26,2601.74
motorcycle_764,3598.0,994.96,2603.04
bus_745,3598.0,982.51,2615.49
motorcycle_741,3598.0,979.87,2618.13
truck_733,3598.0,974.57,2623.43
car_730,3598.0,972.57,2625.43
motorcycle_725,3598.0,969.23,2628.77
bus_703,3598.0,954.41,2643.59
car_684,3598.0,941.43,2656.57
motorcycle_338,3598.0,661.79,2936.21
motorcycle_333,3598.0,656.87,2941.13
motorcycle_329,3598.0,652.92,2945.08
car_328,3598.0,651.92,2946.08
car_325,3598.0,648.93,2949.07
truck_320,3598.0,643.92,2954.08
car_316,3598.0,639.89,2958.11
truck_315,3598.0,638.87,2959.13
truck_314,3598.0,637.86,2960.14
bus_304,3598.0,627.62,2970.38
