id,last_fcd_time,depart,time_in_network
bus_1496,3598.0,1077.12,2520.88
car_1493,3598.0,1074.96,2523.04
truck_1483,3598.0,1067.76,2530.24
car_1480,3598.0,1065.6,2532.4
car_1476,3598.0,1062.72,2535.2799999999997
bus_1467,3598.0,1056.24,2541.76
truck_1455,3598.0,1047.6,2550.4
motorcycle_1452,3598.0,1045.44,2552.56
motorcycle_1394,3598.0,1003.68,2594.32
car_1377,3598.0,991.44,2606.56
motorcycle_1359,3598.0,978.48,2619.52
car_1344,3598.0,967.68,2630.32
car_1333,3598.0,959.76,2638.24
bus_1323,3598.0,952.56,2645.44
truck_1320,3598.0,950.4,2647.6
bus_1318,3598.0,948.96,2649.04
car_1308,3598.0,941.76,2656.24
bus_1083,3598.0,779.76,2818.24
car_1081,3598.0,778.32,2819.68
car_1080,3598.0,777.6,2820.4
truck_1077,3598.0,775.44,2822.56
bus_1075,3598.0,774.0,2824.0
truck_1070,3598.0,770.4,2827.6
motorcycle_1065,3598.0,766.8,2831.2
truck_1064,3598.0,766.08,2831.92
truck_1061,3598.0,763.92,2834.08
car_1058,3598.0,761.76,2836.24
bus_1043,3598.0,750.96,2847.04
car_796,3598.0,573.12,3024.88
truck_793,3598.0,570.96,3027.04
bus_791,3598.0,569.52,3028.48
bus_788,3598.0,567.36,3030.64
car_782,3598.0,563.04,3034.96
car_781,3598.0,562.32,3035.68
motorcycle_779,3598.0,560.88,3037.12
car_773,3598.0,556.56,3041.44
motorcycle_772,3598.0,555.84,3042.16
truck_765,3598.0,550.8,3047.2
car_760,3598.0,547.2,3050.8
bus_752,3598.0,541.44,3056.56
