baseline,scenario,seed,verdict,favorable,throughput_change_pct,system_time_improvement_pct,completed_a,completed_b,report_json,summary_csv,incomplete_a_csv,incomplete_b_csv
"largo_120","demanda_alta","950893","improvement",true,23.52,-5.164014016126989,1875,2316,"data/runs/largo_120/demanda_alta/seed_950893/ab_report.json","data/runs/largo_120/demanda_alta/seed_950893/ab_summary.csv","data/runs/largo_120/demanda_alta/seed_950893/incomplete_trips_A.csv","data/runs/largo_120/demanda_alta/seed_950893/incomplete_trips_B.csv"
"largo_120","demanda_alta","974616","misleading_improvement",false,-61.341671404206934,-17.210134472211,1759,680,"data/runs/largo_120/demanda_alta/seed_974616/ab_report.json","data/runs/largo_120/demanda_alta/seed_974616/ab_summary.csv","data/runs/largo_120/demanda_alta/seed_974616/incomplete_trips_A.csv","data/runs/largo_120/demanda_alta/seed_974616/incomplete_trips_B.csv"
"largo_120","demanda_baja","157300","misleading_improvement",false,-21.88811188811189,-5.931596518301109,1430,1117,"data/runs/largo_120/demanda_baja/seed_157300/ab_report.json","data/runs/largo_120/demanda_baja/seed_157300/ab_summary.csv","data/runs/largo_120/demanda_baja/seed_157300/incomplete_trips_A.csv","data/runs/largo_120/demanda_baja/seed_157300/incomplete_trips_B.csv"
"largo_120","demanda_baja","214181","improvement",true,13.680555555555557,38.6457685204389,1440,1637,"data/runs/largo_120/demanda_baja/seed_214181/ab_report.json","data/runs/largo_120/demanda_baja/seed_214181/ab_summary.csv","data/runs/largo_120/demanda_baja/seed_214181/incomplete_trips_A.csv","data/runs/largo_120/demanda_baja/seed_214181/incomplete_trips_B.csv"
"largo_120","demanda_baja","281772","improvement",true,12.129565816678154,41.41213326103983,1451,1627,"data/runs/largo_120/demanda_baja/seed_281772/ab_report.json","data/runs/largo_120/demanda_baja/seed_281772/ab_summary.csv","data/runs/largo_120/demanda_baja/seed_281772/incomplete_trips_A.csv","data/runs/largo_120/demanda_baja/seed_281772/incomplete_trips_B.csv"
"largo_120","demanda_baja","372292","misleading_improvement",false,-53.34252239834597,-16.340846483906976,1451,677,"data/runs/largo_120/demanda_baja/seed_372292/ab_report.json","data/runs/largo_120/demanda_baja/seed_372292/ab_summary.csv","data/runs/largo_120/demanda_baja/seed_372292/incomplete_trips_A.csv","data/runs/largo_120/demanda_baja/seed_372292/incomplete_trips_B.csv"
"largo_120","demanda_baja","400290","improvement",true,15.944055944055943,37.52255980217172,1430,1658,"data/runs/largo_120/demanda_baja/seed_400290/ab_report.json","data/runs/largo_120/demanda_baja/seed_400290/ab_summary.csv","data/runs/largo_120/demanda_baja/seed_400290/incomplete_trips_A.csv","data/runs/largo_120/demanda_baja/seed_400290/incomplete_trips_B.csv"
"largo_120","demanda_baja","423459","improvement",true,17.34265734265734,39.239390005846275,1430,1678,"data/runs/largo_120/demanda_baja/seed_423459/ab_report.json","data/runs/largo_120/demanda_baja/seed_423459/ab_summary.csv","data/runs/largo_120/demanda_baja/seed_423459/incomplete_trips_A.csv","data/runs/largo_120/demanda_baja/seed_423459/incomplete_trips_B.csv"
"largo_120","demanda_baja","449463","improvement",true,15.941011235955054,40.6368410556405,1424,1651,"data/runs/largo_120/demanda_baja/seed_449463/ab_report.json","data/runs/largo_120/demanda_baja/seed_449463/ab_summary.csv","data/runs/largo_120/demanda_baja/seed_449463/incomplete_trips_A.csv","data/runs/largo_120/demanda_baja/seed_449463/incomplete_trips_B.csv"
"largo_120","demanda_baja","843099","improvement",true,18.181818181818183,39.18942940095989,1430,1690,"data/runs/largo_120/demanda_baja/seed_843099/ab_report.json","data/runs/largo_120/demanda_baja/seed_843099/ab_summary.csv","data/runs/largo_120/demanda_baja/seed_843099/incomplete_trips_A.csv","data/runs/largo_120/demanda_baja/seed_843099/incomplete_trips_B.csv"
