id,last_fcd_time,depart,time_in_network
bus_2426,3598.0,1746.72,1851.28
bus_2414,3598.0,1738.08,1859.92
motorcycle_2408,3598.0,1733.76,1864.24
motorcycle_2403,3598.0,1730.16,1867.84
motorcycle_2399,3598.0,1727.28,1870.72
motorcycle_2397,3598.0,1725.84,1872.16
motorcycle_2386,3598.0,1717.92,1880.08
bus_2376,3598.0,1710.72,1887.28
car_2352,3598.0,1693.44,1904.56
motorcycle_2330,3598.0,1677.6,1920.4
car_2322,3598.0,1671.84,1926.16
motorcycle_2311,3598.0,1663.92,1934.08
truck_1611,3598.0,1159.92,2438.08
car_1608,3598.0,1157.76,2440.24
truck_1606,3598.0,1156.32,2441.6800000000003
truck_1603,3598.0,1154.16,2443.84
truck_1602,3598.0,1153.44,2444.56
car_1601,3598.0,1152.72,2445.2799999999997
car_1598,3598.0,1150.56,2447.44
car_1592,3598.0,1146.24,2451.76
bus_1590,3598.0,1144.8,2453.2
car_1585,3598.0,1141.2,2456.8
truck_1582,3598.0,1139.04,2458.96
motorcycle_1580,3598.0,1137.6,2460.4
car_1578,3598.0,1136.16,2461.84
car_763,3598.0,549.36,3048.64
car_760,3598.0,547.2,3050.8
car_758,3598.0,545.76,3052.24
car_755,3598.0,543.6,3054.4
bus_752,3598.0,541.44,3056.56
truck_729,3598.0,524.88,3073.12
